p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
3.73724486866749e-89	-4.03724185320634	0.207	0.785	6.95277035366899e-85	1	LOC138562538	down
2.75631965060186e-71	-4.05322141329274	0.083	0.558	5.12785707797971e-67	1	DSP	down
5.74665957364588e-68	-3.87844862215637	0.16	0.646	1.06910854708108e-63	1	PINLYP	down
6.40845735419212e-64	-3.68038206579984	0.182	0.654	1.1922294061739e-59	1	EPCAM	down
3.18630629426853e-60	-3.6527762132856	0.096	0.558	5.92780422985717e-56	1	CLDN7	down
9.45155737863174e-60	-2.57743361222682	0.689	0.9	1.75836773472065e-55	1	PMP2	down
1.22232248406583e-59	-3.10964454291974	0.551	0.84	2.27400874935607e-55	1	KRT1	down
2.45616083657325e-59	-3.23328951939164	0.57	0.825	4.56944162036087e-55	1	S100P	down
8.23395696840602e-58	-2.51428379223843	0.278	0.706	1.53184535440226e-53	1	C2PH19orf33	down
4.60720162800381e-57	-3.65032050160613	0.216	0.626	8.57123790873828e-53	1	TGM3	down
5.16123198674168e-57	-3.95699847858688	0.104	0.55	9.60195598813422e-53	1	MPEG1	down
8.68193337570154e-52	-3.74063230176287	0.569	0.815	1.61518688521551e-47	1	S100A4	down
3.22927369263917e-50	-4.0056941259868	0.415	0.731	6.00774077778592e-46	1	LOC138580807	down
3.50387467548687e-50	-3.29201040577901	0.102	0.512	6.51860844627578e-46	1	SERPINB1	down
7.06718630608171e-50	-3.12864712561596	0.089	0.483	1.31477934038344e-45	1	SERPINB5	down
2.40143354949959e-49	-4.54611443755652	0.06	0.48	4.46762697548905e-45	1	TTN	down
6.09632524937229e-49	-3.3204191671701	0.133	0.564	1.13416034939322e-44	1	RihA	down
9.42784749287411e-49	-3.30600761081649	0.139	0.555	1.7539567475743e-44	1	DSG2	down
5.59202832467683e-48	-2.6257742636844	0.25	0.658	1.04034094952288e-43	1	TCHH	down
7.50176509690558e-48	-3.0546294121429	0.114	0.504	1.39562837862831e-43	1	LOC138582574	down
4.01402505888932e-47	-4.63654500777023	0.03	0.416	7.46769221955768e-43	1	OTOA	down
4.2385873754868e-47	-5.03820298030794	0.051	0.446	7.88546795335565e-43	1	LPO	down
5.83660127278332e-47	-3.50227314536419	0.07	0.461	1.08584130078861e-42	1	FXYD3	down
1.88407696567676e-46	-3.52737588162134	0.062	0.447	3.50513678694505e-42	1	TRIM29	down
2.30746071231711e-45	-4.76477483323459	0.047	0.413	4.29279990919475e-41	1	LOC138511169	down
8.57844132494319e-45	-2.87743869393157	0.139	0.5	1.59593322409243e-40	1	CA5A	down
3.15815469823083e-43	-3.53632449484337	0.248	0.61	5.87543100058864e-39	1	LOC138472551	down
