p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.24091268328313e-151	3.25396579097185	0.996	0.366	7.04458005820161e-147	1	TCN1
7.69258872586644e-147	4.21049287238275	0.946	0.16	1.27781591325367e-142	1	ARG1
2.33159678386766e-146	4.58707528708769	0.917	0.085	3.87301541768256e-142	1	RasGEF
3.66887292591447e-144	3.98144841806762	0.958	0.21	6.09436481723653e-140	1	BTN1A1
1.13263810264461e-143	3.42017612766672	0.971	0.321	1.88142515230297e-139	1	TKT
3.27781734321336e-140	2.64414582236111	0.987	0.569	5.44478238881171e-136	1	PLAUR
1.15329926172611e-139	4.01223620990742	0.91	0.079	1.91574540365324e-135	1	CHIT1
1.98442856381405e-138	3.43590527514538	0.955	0.251	3.29633428735151e-134	1	CATHL1
1.11543427215358e-126	3.71888623203507	0.869	0.118	1.8528478694743e-122	1	SLC44A5
5.82063353314248e-124	3.32646075798591	0.897	0.166	9.66865436190297e-120	1	IL1R1
4.95234796490615e-122	2.71556218517431	0.941	0.315	8.2263452045056e-118	1	THEM5
7.88915188981714e-122	3.06495274539293	0.942	0.27	1.31046702041753e-117	1	ITGAX
6.4659769751069e-121	2.96391254477693	0.892	0.241	1.07406343533501e-116	1	CAMP
8.77312341058813e-120	2.97585894884087	0.975	0.368	1.45730352973279e-115	1	MMP9
6.84858459523101e-112	2.61025259428346	0.939	0.39	1.13761838711382e-107	1	TNFAIP8
3.46787213549606e-111	3.02378467805351	0.87	0.198	5.76048240427251e-107	1	RIPOR2
5.33972626985984e-110	4.41725511825908	0.769	0.051	8.86981930686419e-106	1	SCG2
7.99425403550661e-109	3.19697322099974	0.861	0.174	1.327925537838e-104	1	MAG
3.95484088899458e-106	2.96971806497981	0.886	0.194	6.56938620070889e-102	1	LOC138580932
1.55788955213482e-105	2.42741436533971	0.908	0.257	2.58781033505115e-101	1	MMP18
2.00566487350127e-104	3.65393237232034	0.773	0.11	3.33160992137295e-100	1	FGL2
5.43984472924694e-104	2.77714838400126	0.88	0.308	9.03612607975209e-100	1	FBP1
1.21482445567338e-103	2.00924133295808	0.953	0.555	2.01794490331906e-99	1	GSTM4
4.0959135207783e-103	1.79787361557489	0.991	0.801	6.80372194936483e-99	1	ALDOA
1.93544143910424e-102	2.38136083804781	0.946	0.409	3.21496177449605e-98	1	LCP1
2.84568880831491e-101	2.55091405888184	0.888	0.285	4.72697367949189e-97	1	TNIP1
5.54858044442629e-100	3.25479582755149	0.814	0.181	9.21674697623652e-96	1	NADK
1.538358467815e-98	3.40818415888957	0.785	0.14	2.5553672508875e-94	1	ANO10
1.31434749184069e-97	2.76068339492363	0.864	0.255	2.18326261869657e-93	1	TLR5
7.7597797341771e-97	2.67656829616592	0.81	0.216	1.28897701164416e-92	1	CORO1A
2.02797906946552e-96	3.10847488365822	0.825	0.185	3.36867603228918e-92	1	TP53AIP1
1.07333239894111e-94	1.06055826639813	0.999	0.975	1.78291244788108e-90	1	CFL2
1.61987312673819e-94	2.08984739600932	0.972	0.573	2.6907712508248e-90	1	ODC1
5.94464576635497e-94	3.65328827863335	0.697	0.083	9.87465108249224e-90	1	MSRB1
1.54637830969534e-93	2.2057830766403	0.947	0.418	2.56868901023492e-89	1	TNFRSF1B
2.03304687882126e-93	2.71708999456178	0.82	0.232	3.37709417041e-89	1	FAR2
1.17681339850844e-90	3.61394106431432	0.723	0.118	1.95480473626237e-86	1	IL1R2
2.70829537313769e-90	2.66556905352928	0.833	0.251	4.49874944431902e-86	1	NCF2
5.70623075629294e-90	-3.38381114926881	0.224	0.793	9.47861990927821e-86	1	ANXA2
1.08140696069946e-89	3.00591682646317	0.711	0.134	1.79632510241787e-85	1	PFKFB4
2.04759151859167e-88	1.0443028197046	1	1	3.40125427153262e-84	1	ACTB
4.17028716106165e-88	2.66931796404712	0.808	0.217	6.92726400323951e-84	1	CXCR2
3.06065104941116e-87	3.61502767896921	0.727	0.119	5.08404745817688e-83	1	OVCH1
2.32618284009878e-85	2.39675619374407	0.823	0.305	3.86402231568808e-81	1	GPI
3.81123980071944e-85	-4.04373944586489	0.392	0.814	6.33085043297506e-81	1	LGALS1
1.34378422185416e-83	2.95019371968994	0.818	0.23	2.23215997092195e-79	1	DENND4A
6.3045664909908e-82	1.09650308372386	0.999	0.971	1.04725153981848e-77	1	YWHAQ
1.03686934829615e-81	2.59179839440649	0.802	0.238	1.72234367445473e-77	1	TPRG1
6.62196854785056e-81	3.66924459433402	0.722	0.096	1.09997519548346e-76	1	SLC2A3
3.79076652654148e-80	-2.42148235404606	0.492	0.89	6.29684227723805e-76	1	S100A10
1.06057164359887e-79	3.29592901382507	0.714	0.111	1.76171555718208e-75	1	LTB4R
7.52423723642693e-79	-4.7619909568978	0.05	0.572	1.24985104734288e-74	1	SPACA4
9.14845584160835e-79	2.28023187359905	0.863	0.358	1.51964999984956e-74	1	NCK1
1.1026772001612e-78	-1.32442577872797	0.962	0.995	1.83165709718777e-74	1	COX2
6.3755523377245e-76	2.65386072144495	0.817	0.2	1.05904299881942e-71	1	SFTPD
2.32681112562315e-74	2.49533008355549	0.705	0.177	3.86506596077261e-70	1	HVCN1
2.96223961862579e-74	1.85414059115845	0.869	0.472	4.9205762304993e-70	1	LOC138503155
7.71571044310489e-74	2.28288783130125	0.798	0.264	1.28165666170415e-69	1	ALOX5AP
5.94168076438386e-73	2.99721156443474	0.667	0.126	9.86972591771802e-69	1	LMNB1
1.26989174486968e-72	1.45990033848152	0.946	0.726	2.10941717740303e-68	1	SRI
1.80791287081018e-72	2.70409387466211	0.77	0.208	3.00312406970278e-68	1	CEACAM5
6.5326350078645e-72	2.3261559698857	0.811	0.264	1.08513600115637e-67	1	C13H1orf162
1.18053595388704e-71	2.54067260573756	0.745	0.204	1.96098827300176e-67	1	MS4A15
3.55504174898076e-70	1.48944333910292	0.943	0.723	5.90527984923194e-66	1	ENO1
5.64581143199295e-70	2.66440530441805	0.708	0.157	9.3782573696835e-66	1	SPN
1.21293557149633e-69	-3.24720968163342	0.693	0.881	2.01480727781255e-65	1	CSTB
2.07015646439597e-69	3.24082960049043	0.582	0.086	3.43873690300814e-65	1	BCAS4
7.76376290680542e-69	2.63944741496011	0.68	0.149	1.28963865644945e-64	1	NCF1
1.24054280955523e-68	2.32503920696517	0.773	0.246	2.06066566095219e-64	1	JAK2
1.46187536455947e-68	2.43301491538053	0.809	0.28	2.42832116806973e-64	1	DGKZ
3.17697892911236e-68	1.87928370549757	0.845	0.436	5.27727969914855e-64	1	TALDO1
5.17759448275515e-67	2.60160782206966	0.678	0.166	8.60050219530458e-63	1	MXI1
6.21842859324862e-67	4.07111004563239	0.537	0.042	1.03294317362453e-62	1	MMP25
7.55616088303484e-67	3.8995039118857	0.525	0.045	1.25515388428092e-62	1	GFRA1
1.88121128235379e-66	1.72645781213129	0.888	0.424	3.12488006111788e-62	1	VSIR
2.84035033510467e-66	1.94076134438984	0.788	0.274	4.71810594164237e-62	1	FAM107B
8.64233576823607e-66	2.63812436914112	0.658	0.175	1.43557839446169e-61	1	ACOD1
1.36704017999334e-65	2.97502857139812	0.657	0.133	2.27079044298693e-61	1	STX11
1.45772354153954e-65	1.02577929623967	0.994	0.922	2.42142457485132e-61	1	GAPDH
1.50297817745262e-65	2.59187447963017	0.67	0.172	2.49659705056655e-61	1	USP2
4.59252030799133e-65	2.74509189297507	0.663	0.148	7.62863548360441e-61	1	ZNF831
7.81534725020088e-65	2.33570095683737	0.744	0.231	1.29820733173087e-60	1	SORL1
4.85461809656985e-64	1.88810908434163	0.805	0.368	8.06400612021217e-60	1	MVP
6.36651996572834e-64	-4.56814412358275	0.045	0.508	1.05754263150713e-59	1	VAT1
1.52661811329686e-63	3.22887669285466	0.562	0.091	2.53586534799741e-59	1	IL5RA
1.79197036827054e-63	2.4073398917503	0.709	0.193	2.9766419787342e-59	1	ARHGEF18
2.02342151457042e-63	3.44207961942002	0.569	0.065	3.36110547785292e-59	1	PPP1R3C
4.82641397877347e-63	2.06607348677813	0.803	0.301	8.01715626014061e-59	1	CCDC88B
7.68919228575526e-62	1.91755152718607	0.819	0.358	1.27725173058681e-57	1	DIAPH2
1.33478297435859e-61	1.31395379656367	0.965	0.649	2.21720799870705e-57	1	BASP1
2.54763527923675e-61	1.22872378421632	0.971	0.744	4.23187696234016e-57	1	CD9
2.99717617076754e-61	1.38604158500574	0.905	0.472	4.97860933726196e-57	1	TCHH
