p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.02481460004772e-15	-1.03005100619374	0.369	0.588	1.39467018920495e-11	1	DYNC1H1	down
2.61728587098069e-71	1.1553504216457	0.987	0.779	3.56186434181762e-67	1	RPS25	up
1.51252586952665e-69	1.24703566698555	0.975	0.704	2.05839645583882e-65	1	LOC138521744	up
5.55329189002251e-63	1.11427618074217	0.983	0.779	7.55747493313163e-59	1	LOC138514047	up
3.93512783270819e-57	1.18412046339525	0.948	0.679	5.35531546753258e-53	1	RPL23A	up
1.0741314211359e-54	1.09320395712357	0.96	0.743	1.46178545102385e-50	1	RPS3	up
1.52055949479018e-54	1.11407491242241	0.982	0.749	2.06932941645995e-50	1	EEF1B2	up
9.88534481176311e-54	1.16599103091026	0.93	0.66	1.34529657543284e-49	1	LOC138521144	up
3.32829021500465e-51	1.07735051799135	0.956	0.672	4.52947015359984e-47	1	LOC138522014	up
2.93635498150485e-48	1.07795618342463	0.94	0.671	3.99608549432995e-44	1	LOC138503745	up
3.3812990865151e-48	1.07627928082488	0.945	0.694	4.6016099268384e-44	1	LOC138514343	up
3.16302474929037e-13	-1.45344957642361	0.277	0.527	4.30456038130927e-09	2	S100G.2	down
5.91342914497811e-51	-1.18553961182015	0.773	0.985	8.04758572340071e-47	3	LOC138453092	down
4.66174357832906e-49	-1.13287306160504	0.764	0.988	6.34416683574802e-45	3	RPL27	down
2.4860562159511e-47	-1.09697687672228	0.761	0.984	3.38327390428786e-43	3	RPL39	down
5.40297189302943e-42	-1.15774773024407	0.751	0.967	7.35290444922375e-38	3	RPL12	down
1.99645397521116e-41	-1.34435025059541	0.505	0.88	2.71697421486487e-37	3	LOC138521036	down
7.43757044181885e-41	-1.51124454778139	0.634	0.903	1.01217896142713e-36	3	CRIP1.1	down
3.88060236685644e-39	-1.12119804953059	0.641	0.931	5.28111176105493e-35	3	MYL6P1.2	down
4.29579265299946e-39	-1.53974010589577	0.553	0.89	5.84614422146697e-35	3	TXN	down
7.01998248076954e-39	-1.05890367023312	0.735	0.973	9.55349415807926e-35	3	RPL11	down
2.49132707067615e-38	-1.18796519949605	0.667	0.939	3.39044701048317e-34	3	LOC138514047	down
1.89254126652225e-17	1.76966495162688	0.557	0.305	2.57555940961013e-13	3	KRT5.4	up
8.60815114548689e-17	1.80036456900988	0.602	0.374	1.17148328938931e-12	3	LOC138580807	up
1.02461316404197e-16	1.33846119277112	0.544	0.272	1.39439605494472e-12	3	ITPR2	up
3.05409316036011e-16	1.4667746757245	0.689	0.481	4.15631538193407e-12	3	S100P.1	up
7.89114157142062e-16	1.40199667633805	0.686	0.479	1.07390545645463e-11	3	S100A4	up
7.96470039740911e-16	1.30562838296881	0.696	0.486	1.08391607708341e-11	3	DOCK9	up
1.08177457249448e-14	1.21271782601409	0.563	0.354	1.47218701570774e-10	3	DGKZ	up
2.96909074726755e-14	1.54480274461887	0.625	0.398	4.0406355979564e-10	3	S100G.2	up
3.54390494194293e-14	1.11360576697135	0.605	0.383	4.82290023549014e-10	3	PIEZO1	up
3.45199562334613e-13	1.31677954734509	0.472	0.229	4.69782084381174e-09	3	LYST	up
